component	version	architecture	source_type	source_url	size	sha256	pack	git_repository	git_tag	git_commit	spdx
github-cli	2.97.0	amd64	github-release	https://github.com/cli/cli/releases/download/v2.97.0/gh_2.97.0_linux_amd64.tar.gz	14770812	a2c9b8497e1f85b1ad0dfcb78b5a622e098801b8e461e459e88e1ee12f018112	sezu-core	https://github.com/cli/cli	v2.97.0	55dbb4dc6b7edb10b48e3d7fc5bccd32318d1b55	MIT
opentofu	1.12.5	amd64	github-release	https://github.com/opentofu/opentofu/releases/download/v1.12.5/tofu_1.12.5_linux_amd64.tar.gz	34626370	a6894d45ae7a17ce83189cce8fe04b5a65f68cefceb62455b5a6a89fa53ab38f	sezu-core	https://github.com/opentofu/opentofu	v1.12.5	230349e959a44fb8eb7b83754f9d9b012f3bdb42	MPL-2.0
kubectl	1.36.3	amd64	official-binary	https://dl.k8s.io/release/v1.36.3/bin/linux/amd64/kubectl	59556002	ebbd080e7c2e275093b55915722043257eb24004363e20acb3c4d71919f88336	sezu-core				Apache-2.0
minio-client	2025-08-13T08-35-41Z	amd64	github-release	https://github.com/minio/mc/releases/download/RELEASE.2025-08-13T08-35-41Z/mc.linux-amd64.RELEASE.2025-08-13T08-35-41Z	30535864	01f866e9c5f9b87c2b09116fa5d7c06695b106242d829a8bb32990c00312e891	storage-extra	https://github.com/minio/mc	RELEASE.2025-08-13T08-35-41Z	7394ce0dd2a80935aded936b09fa12cbb3cb8096	AGPL-3.0-only
sops	3.13.3	amd64	github-release	https://github.com/getsops/sops/releases/download/v3.13.3/sops-v3.13.3.linux.amd64	52121762	e5bec3346a873ae91d871550f3e698c1aad962aff462a080e40f25fde17fef6b	storage-extra	https://github.com/getsops/sops	v3.13.3	26e2f4784ca61353082c32dbd987c25eda086dc9	MPL-2.0
ghidra	12.1.2	amd64	github-release	https://github.com/NationalSecurityAgency/ghidra/releases/download/Ghidra_12.1.2_build/ghidra_12.1.2_PUBLIC_20260605.zip	572803866	b62e81a0390618466c019c60d8c2f796ced2509c4c1aea4a37644a77272cf99d	binary-firmware	https://github.com/NationalSecurityAgency/ghidra	Ghidra_12.1.2_build	c0f584bf229fffba61b36431f3ce30c0c3e4e682	Apache-2.0
radare2	6.1.8	amd64	github-release	https://github.com/radareorg/radare2/releases/download/6.1.8/radare2_6.1.8_amd64.deb	8646032	91e64c672e65521758c0deb0f70d98ac90f0a78eb654d8bd0d894dd5735130e3	binary-firmware	https://github.com/radareorg/radare2	6.1.8	d904d02e1157b45135c6e61651d890bac8abe873	LGPL-3.0-only
binwalk	3.1.0	source	git-archive	https://github.com/ReFirmLabs/binwalk/archive/4fdab3d464d97b68e0af9088df3f9e2e1545b21c.tar.gz	583110	81d9dbfbe4716446fe5167ed7046ebc3a6c33a18cc91f412a5392374c3622e20	binary-firmware	https://github.com/ReFirmLabs/binwalk	v3.1.0	4fdab3d464d97b68e0af9088df3f9e2e1545b21c	MIT
apache-spark	4.2.0	all	official-archive	https://archive.apache.org/dist/spark/spark-4.2.0/spark-4.2.0-bin-hadoop3.tgz	555409690	cc1232a4a23858300ba9c887b7ac5a9128b4a1819cea2fa8ee2bc6ce98ced72b	data-spark				Apache-2.0
aws-cli	2.36.15	amd64	official-archive	https://awscli.amazonaws.com/awscli-exe-linux-x86_64-2.36.15.zip	73072729	02a8eb2fe985be8ebcc284aaa5bae206ee8668872d6369e66a5c7d49d8671a08	cloud-aws				Apache-2.0
aws-session-manager-plugin	1.2.707.0	amd64	official-deb	https://s3.amazonaws.com/session-manager-downloads/plugin/1.2.707.0/ubuntu_64bit/session-manager-plugin.deb	3908056	91cc9a1a8df6f730622d5e11a8610be6e06d5858408e8029b56d0d63aedd0a68	cloud-aws				Apache-2.0
azure-cli	2.89.0-1~noble	amd64	official-deb	https://packages.microsoft.com/repos/azure-cli/pool/main/a/azure-cli/azure-cli_2.89.0-1~noble_amd64.deb	56388104	5244e06ecb7c77a97d58bdb782e23445a3b123fb4422bb56810428131bc8f902	cloud-azure				MIT
google-cloud-cli	579.0.0	amd64	official-archive	https://dl.google.com/dl/cloudsdk/channels/rapid/downloads/google-cloud-cli-579.0.0-linux-x86_64.tar.gz	96066973	a9a7fbe51cda37cf6142b1bbcff12227550e60a6c67e8cf84644fb301371c4de	cloud-gcp				Apache-2.0
gitlab-cli	1.112.0	amd64	gitlab-release	https://gitlab.com/gitlab-org/cli/-/releases/v1.112.0/downloads/glab_1.112.0_linux_amd64.deb	18257740	71eb77a13dd57f3add103e979b20dbd9f4730bcaf9501ae2e8ac14cb4585c707	sezu-core	https://gitlab.com/gitlab-org/cli	v1.112.0	816e3a52411aba73d90237859fdc6ecbc86bd169	MIT
uv	0.12.1	amd64	github-release	https://github.com/astral-sh/uv/releases/download/0.12.1/uv-x86_64-unknown-linux-gnu.tar.gz	21760555	90b2f223fb69d19db49e117da601f64978593417988530aa733d456141b4bcbb	sezu-core	https://github.com/astral-sh/uv	0.12.1	329541a503de8a4d9bb021814f9c0875efe033c8	Apache-2.0 OR MIT
